Provincia;Localidad;Codigo_postal;Direccion;Margen;Toma_de_datos;Precio;Rotulo;Tipo_venta;Rem;Horario;Tipo_servicio;Fecha_extraccion
SANTA CRUZ DE TENERIFE;LA LAGUNA;38108;AVENIDA PASO EL LOS MAJUELOS  108;N;28 07 2020 1018;0,869;CEPSA LOS ANDENES;P;dm;LD 24H;LD 24H  A ;01 08 2020
SANTA CRUZ DE TENERIFE;VALLE DE SAN LORENZO   ;38626;CARRETERA CARRETERA GENERAL KM 136;D;29 07 2020 0000;0,869;CEPSA;P;dm;LD 06002200;LD 06002200  A ;01 08 2020
SANTA CRUZ DE TENERIFE;GENETO          ;38296;CAMINO SAN MIGUEL DE GENETO 148;D;01 08 2020 0000;0,869;REPSOL;P;OM;L 24H;L 24H  A ;01 08 2020
SANTA CRUZ DE TENERIFE;TACO           ;38108;CALLE LIBERTAD SN;D;01 08 2020 0000;0,869;REPSOL;P;OM;LD 24H;LV 00000900  A   09001400  P   14001600  A   16001900  P   19002359  A  SD 24H  A ;01 08 2020
SANTA CRUZ DE TENERIFE;LA LAGUNA;38108;POL IND LOS MAJUELOS km CENTRO COMERCIAL M;N;30 07 2020 1500;0,869;DISA LAS CHUMBERAS;P;OM;LS 06002200 D 08002100;LS 06002200  A  D 08002100  A ;01 08 2020
SANTA CRUZ DE TENERIFE;OROTAVA LA       ;38300;PLAZA LA PAZ SN;N;28 07 2020 0000;0,869;DISA;P;dm;LD 24H;LD 24H  A ;01 08 2020
SANTA CRUZ DE TENERIFE;ESCOBONAL EL      ;38591;AVENIDA AXAENTEMIR SN;N;28 07 2020 0001;0,869;EL ESCOBONAL;P;dm;LS 07002100 D 08001400;LS 07002100  A  D 08001400  A ;01 08 2020
SANTA CRUZ DE TENERIFE;SANTA CRUZ DE TENERIFE  ;38108;CARRETERA CARRETERA GENERAL DEL SUR KM 6 200;N;29 07 2020 1545;0,869;DISA TACO;P;OM;LS 06302230 D 08002200;LS 06302230  A  D 08002200  A ;01 08 2020
SANTA CRUZ DE TENERIFE;ROSARIO EL       ;38420;C LA CAMPANA SN CTRA GRAL DEL SUR km 4 ;N;30 07 2020 0600;0,869;CEPSA;P;dm;LD 24H;LD 24H  A ;01 08 2020
SANTA CRUZ DE TENERIFE;ARONA          ;38649;CARRETERA CARRETERA GENERAL GUAZA LOS CRISTIANOS KM 1;D;30 07 2020 0858;0,869;CEPSA LLANO AZUL;P;dm;LD 24H;LD 24H  A ;01 08 2020
SANTA CRUZ DE TENERIFE;CAMELLA LA        ;38627;CARRETERA CTRA GENERAL VALLE SAN LORENZO KM 98 86;N;28 07 2020 1028;0,869;DISA;P;dm;LS 07002200 D 07001400;LS 07002200  A  D 07001400  A ;01 08 2020
SANTA CRUZ DE TENERIFE;SANTA CRUZ DE TENERIFE  ;38108;CARRETERA LOS MAJUELOS SOBRADILLO KM SN;N;29 07 2020 1545;0,869;DISA EL SOBRADILLO;P;OM;LD 06002200;LD 06002200  P ;01 08 2020
SANTA CRUZ DE TENERIFE;FASNIA          ;38570;AUTOVIA TF1 KM 34;D;28 07 2020 0000;0,869;CEPSA;P;OM;LD 06002200;LD 06002200  A ;01 08 2020
SANTA CRUZ DE TENERIFE;ARONA          ;38640;CARRETERA TF28 KM 92;D;28 07 2020 0000;0,869;CEPSA;P;OM;LS 08001600;LS 08001600  A ;01 08 2020
SANTA CRUZ DE TENERIFE;SANTO DOMINGO      ;38437;AVENIDA OCHO DE AGOSTO 37;I;27 07 2020 1150;0,869;DISA      STO DOMINGO;P;dm;LV 07002000 S 08002000 D 08001400;LV 07002000  A  S 08002000  A  D 08001400  A ;01 08 2020
SANTA CRUZ DE TENERIFE;SANTA CRUZ DE TENERIFE  ;38108;CARRETERA ROSARIO DEL KM 186;D;28 07 2020 0000;0,869;CEPSA;P;OM;LD 24H;LD 24H  A ;01 08 2020
SANTA CRUZ DE TENERIFE;SANTA CRUZ DE TENERIFE  ;38009;CARRETERA DEL ROSARIO KM 3;N;29 07 2020 1545;0,872;E S SHELL OFRA;P;OM;LD 06002200;LD 06000900  A   09001700  P   17002200  A ;01 08 2020
SANTA CRUZ DE TENERIFE;BALDIOS LOS       ;38291;CARRETERA TF265 KM 2;D;29 07 2020 0000;0,873;TGAS LO BALDIOS;P;dm;LS 06002200 D 07002200;LS 06002200  A  D 07002200  A ;01 08 2020
SANTA CRUZ DE TENERIFE;TACORONTE        ;38350;CALLE CAMINO REAL 163;N;28 07 2020 2301;0,874;CEPSA AGUA GARCIA;P;dm;LS 06002300 D 08002200;LS 06002300  P  D 08002200  P ;01 08 2020
SANTA CRUZ DE TENERIFE;ADEJE          ;38670;AUTOPISTA TF1 AUTOPISTA SUR A ARMENIME CRUCE LA CALETA KM SN;N;29 07 2020 0000;0,874;TGASTU TREBOL;P;dm;LD 08002100;LD 08002100  A ;01 08 2020
SANTA CRUZ DE TENERIFE;TACORONTE        ;38350;AUTOPISTA AUTOPISTA EL TORREON KM 11 00;D;20 07 2020 1241;0,874;BP;P;dm;LS 06000000 D 08001400;LS 06000000  A  D 08001400  A ;01 08 2020
SANTA CRUZ DE TENERIFE;EL SAUZAL;38360;CARRETERA GENERAL DEL NORTE KM 20 65;N;27 07 2020 0001;0,874;BP;P;dm;LS 06002300 D 07002200;LS 06002300  A  D 07002200  A ;01 08 2020
SANTA CRUZ DE TENERIFE;LA LAGUNA;38203;CR AUTOPISTA DEL NORTE KM 10 2;I;27 07 2020 1023;0,874;BP SAN BENITO;P;dm;LD 24H;LD 24H  A ;01 08 2020
SANTA CRUZ DE TENERIFE;CHAFIRAS LAS      ;38639;AVENIDA EUGENIO DOMINGUEZ SIERRA 48;D;27 07 2020 1200;0,874;ESTACION DE SERVICIO EL GOMERO;P;dm;LD 24H;LD 24H  P ;01 08 2020
SANTA CRUZ DE TENERIFE;PALO BLANCOLLANADAS   ;38415;CARRETERA TF326 KM 4 159;D;31 07 2020 0000;0,875;REPSOL;P;dm;LD 06300000;LD 06300000  A ;01 08 2020
SANTA CRUZ DE TENERIFE;VALLE DE GUERRA     ;38270;CARRETERA TF16 KM 4 4;I;27 07 2020 1255;0,875;REPSOL;P;dm;LD 06002200;LD 06002200  A ;01 08 2020
SANTA CRUZ DE TENERIFE;LA LAGUNA;38108;AVENIDA LOS MAJUELOS 26;N;30 07 2020 1500;0,875;DISA LOS MAJUELOS;P;OM;LD 24H;LD 24H  A ;01 08 2020
SANTA CRUZ DE TENERIFE;CHAFIRAS LAS      ;38639;AVENIDA LUCIO DIAZ FLORES FEO MZ 27 FINCA 11B S7N;N;27 07 2020 1025;0,875;OCEANO;P;dm;LD 24H;LD 24H  A ;01 08 2020
SANTA CRUZ DE TENERIFE;ALCALA          ;38686;CARRETERA TF47 ARMENIMEPUERTO SANTIAGO KM 15;I;29 07 2020 1112;0,877;PCAN;P;dm;LD 24H;LD 24H  A ;01 08 2020
SANTA CRUZ DE TENERIFE;REALEJOS LOS      ;38410;CARRETERA CRT GRAL ICODS C PK 38 8 KM 38 8;D;28 07 2020 2300;0,877;TGAS LA GORVORANA;P;dm;LD 06002300;LD 06000700  A   07002300  P ;01 08 2020
SANTA CRUZ DE TENERIFE;REALEJOS LOS      ;38410;CARRETERA EL TOSCAL KM SN;N;29 07 2020 1254;0,877;SHELL LAS DEHESAS;P;dm;LD 07002300;LD 07002300  A ;01 08 2020
SANTA CRUZ DE TENERIFE;PUERTO DE LA CRUZ    ;38400;CALLE CARRETERA DEL BOTANICO 24;N;27 07 2020 2201;0,879;CEPSA PUERTO DE LA CRUZ;P;dm;LD 24H;LD 24H  P ;01 08 2020
SANTA CRUZ DE TENERIFE;EL SAUZAL;38360;CR TF172 0 9;D;27 07 2020 2241;0,879;CEPSA;P;dm;LD 06002200;LD 06002200  A ;01 08 2020
SANTA CRUZ DE TENERIFE;ZOCAS LAS        ;38628;CARRETERA TF65 KM 3 9;I;27 07 2020 1602;0,879;REPSOL;P;dm;LD 06002300;LD 06002300  A ;01 08 2020
SANTA CRUZ DE TENERIFE;SAN ISIDRO        ;38611;CARRETERA TF1 KM 54;D;27 07 2020 1600;0,879;REPSOL;P;dm;LD 06000000;LD 06000000  A ;01 08 2020
SANTA CRUZ DE TENERIFE;PERDOMA LA       ;38315;CARRETERA TF324 KM 2;D;01 08 2020 0000;0,879;REPSOL;P;OM;LV 06002200 SD 07002300;LV 06002200  A  SD 07002300  A ;01 08 2020
SANTA CRUZ DE TENERIFE;SAN ISIDRO        ;38611;CARRETERA TF1 KM 54;I;27 07 2020 1559;0,879;REPSOL;P;dm;LD 24H;LD 24H  A ;01 08 2020
SANTA CRUZ DE TENERIFE;FASNIA          ;38570;AUTOVIA TF1 KM 36 5;I;01 08 2020 0000;0,879;REPSOL;P;OM;LD 06002200;LD 06002200  A ;01 08 2020
